id_producto,id_restaurante,nombre_producto,categoria,precio_soles,descripcion,disponible
1,1,Bruschetta,Pizzería,27.78,Bruschetta preparado al estilo pizzería,SI
2,1,Pizza mediana,Pizzería,50.05,Pizza mediana preparado al estilo pizzería,SI
3,1,Pizza personal,Pizzería,53.03,Pizza personal preparado al estilo pizzería,NO
4,1,Pizza familiar,Pizzería,52.83,Pizza familiar preparado al estilo pizzería,SI
5,2,Anticucho,Pollería,25.57,Anticucho preparado al estilo pollería,SI
6,2,Pollo a la brasa 1/4,Pollería,13.76,Pollo a la brasa 1/4 preparado al estilo pollería,NO
7,2,Chorizo parrillero,Pollería,28.58,Chorizo parrillero preparado al estilo pollería,SI
8,2,Chicharrón de pollo,Pollería,38.02,Chicharrón de pollo preparado al estilo pollería,SI
9,2,Pollo a la brasa entero,Pollería,24.64,Pollo a la brasa entero preparado al estilo pollería,SI
10,2,Papas fritas,Pollería,22.35,Papas fritas preparado al estilo pollería,SI
11,2,Ensalada,Pollería,23.0,Ensalada preparado al estilo pollería,NO
12,2,Pollo a la brasa 1/2,Pollería,15.45,Pollo a la brasa 1/2 preparado al estilo pollería,NO
13,3,Tiradito,Cevichería,26.94,Tiradito preparado al estilo cevichería,SI
14,3,Sudado de pescado,Cevichería,41.09,Sudado de pescado preparado al estilo cevichería,SI
15,3,Ceviche clásico,Cevichería,42.1,Ceviche clásico preparado al estilo cevichería,SI
16,3,Pulpo al olivo,Cevichería,30.77,Pulpo al olivo preparado al estilo cevichería,SI
17,3,Leche de tigre,Cevichería,31.06,Leche de tigre preparado al estilo cevichería,SI
18,3,Arroz con mariscos,Cevichería,34.63,Arroz con mariscos preparado al estilo cevichería,SI
19,3,Choritos a la chalaca,Cevichería,35.19,Choritos a la chalaca preparado al estilo cevichería,NO
20,4,Lomo fino,Parrilla,54.75,Lomo fino preparado al estilo parrilla,SI
21,4,Anticucho,Parrilla,18.98,Anticucho preparado al estilo parrilla,SI
22,4,Parrilla mixta,Parrilla,52.13,Parrilla mixta preparado al estilo parrilla,SI
23,4,Pollo a la parrilla,Parrilla,23.37,Pollo a la parrilla preparado al estilo parrilla,SI
24,4,Salchicha parrillera,Parrilla,49.88,Salchicha parrillera preparado al estilo parrilla,SI
25,5,Arroz con leche,Restaurante Criollo,16.26,Arroz con leche preparado al estilo restaurante criollo,SI
26,5,Causa limeña,Restaurante Criollo,21.2,Causa limeña preparado al estilo restaurante criollo,SI
27,5,Lomo saltado,Restaurante Criollo,28.43,Lomo saltado preparado al estilo restaurante criollo,SI
28,5,Ají de gallina,Restaurante Criollo,17.12,Ají de gallina preparado al estilo restaurante criollo,NO
29,5,Escabeche de pollo,Restaurante Criollo,29.11,Escabeche de pollo preparado al estilo restaurante criollo,SI
30,5,Carapulcra,Restaurante Criollo,15.31,Carapulcra preparado al estilo restaurante criollo,SI
31,5,Tacu tacu,Restaurante Criollo,27.46,Tacu tacu preparado al estilo restaurante criollo,NO
32,5,Seco de pollo,Restaurante Criollo,13.71,Seco de pollo preparado al estilo restaurante criollo,SI
33,6,Triple mixto,Sanguchería,9.0,Triple mixto preparado al estilo sanguchería,SI
34,6,Pan con peperoni,Sanguchería,15.27,Pan con peperoni preparado al estilo sanguchería,SI
35,6,Pan con jamón del país,Sanguchería,13.68,Pan con jamón del país preparado al estilo sanguchería,SI
36,6,Sánguche de pollo,Sanguchería,10.33,Sánguche de pollo preparado al estilo sanguchería,SI
37,6,Sánguche de chicharrón,Sanguchería,26.97,Sánguche de chicharrón preparado al estilo sanguchería,SI
38,6,Club sándwich,Sanguchería,25.98,Club sándwich preparado al estilo sanguchería,SI
39,6,Pan con bistec,Sanguchería,11.53,Pan con bistec preparado al estilo sanguchería,SI
40,7,Pollo a la brasa entero,Pollería,16.33,Pollo a la brasa entero preparado al estilo pollería,SI
41,7,Ensalada,Pollería,14.27,Ensalada preparado al estilo pollería,SI
42,7,Chorizo parrillero,Pollería,28.63,Chorizo parrillero preparado al estilo pollería,SI
43,7,Papas fritas,Pollería,18.05,Papas fritas preparado al estilo pollería,SI
44,8,Pulpo al olivo,Cevichería,29.86,Pulpo al olivo preparado al estilo cevichería,SI
45,8,Arroz con mariscos,Cevichería,41.28,Arroz con mariscos preparado al estilo cevichería,SI
46,8,Choritos a la chalaca,Cevichería,22.46,Choritos a la chalaca preparado al estilo cevichería,SI
47,8,Leche de tigre,Cevichería,29.9,Leche de tigre preparado al estilo cevichería,SI
48,8,Ceviche mixto,Cevichería,29.06,Ceviche mixto preparado al estilo cevichería,SI
49,8,Sudado de pescado,Cevichería,32.05,Sudado de pescado preparado al estilo cevichería,NO
50,8,Tiradito,Cevichería,42.11,Tiradito preparado al estilo cevichería,SI
51,9,Ceviche mixto,Cevichería,46.43,Ceviche mixto preparado al estilo cevichería,SI
52,9,Arroz con mariscos,Cevichería,22.95,Arroz con mariscos preparado al estilo cevichería,SI
53,9,Ceviche clásico,Cevichería,48.1,Ceviche clásico preparado al estilo cevichería,NO
54,9,Leche de tigre,Cevichería,49.42,Leche de tigre preparado al estilo cevichería,SI
55,9,Pulpo al olivo,Cevichería,45.4,Pulpo al olivo preparado al estilo cevichería,SI
56,9,Tiradito,Cevichería,19.38,Tiradito preparado al estilo cevichería,SI
57,9,Sudado de pescado,Cevichería,20.72,Sudado de pescado preparado al estilo cevichería,SI
58,9,Choritos a la chalaca,Cevichería,46.61,Choritos a la chalaca preparado al estilo cevichería,NO
59,10,Pizza familiar,Pizzería,26.01,Pizza familiar preparado al estilo pizzería,SI
60,10,Pan al ajo,Pizzería,46.59,Pan al ajo preparado al estilo pizzería,NO
61,10,Pizza personal,Pizzería,49.32,Pizza personal preparado al estilo pizzería,SI
62,10,Bruschetta,Pizzería,44.42,Bruschetta preparado al estilo pizzería,SI
63,11,Arroz chaufa,Chifa,27.53,Arroz chaufa preparado al estilo chifa,SI
64,11,Lomo saltado,Chifa,15.45,Lomo saltado preparado al estilo chifa,SI
65,11,Kam lu wantán,Chifa,18.67,Kam lu wantán preparado al estilo chifa,SI
66,11,Tallarín saltado,Chifa,14.2,Tallarín saltado preparado al estilo chifa,SI
67,11,Aeropuerto,Chifa,16.62,Aeropuerto preparado al estilo chifa,SI
68,11,Arroz frito especial,Chifa,20.48,Arroz frito especial preparado al estilo chifa,SI
69,12,Pollo a la parrilla,Parrilla,55.0,Pollo a la parrilla preparado al estilo parrilla,SI
70,12,Costillas BBQ,Parrilla,47.94,Costillas BBQ preparado al estilo parrilla,SI
71,12,Chorizo artesanal,Parrilla,55.0,Chorizo artesanal preparado al estilo parrilla,SI
72,12,Lomo fino,Parrilla,50.68,Lomo fino preparado al estilo parrilla,SI
73,12,Anticucho,Parrilla,24.66,Anticucho preparado al estilo parrilla,SI
74,12,Mollejas a la parrilla,Parrilla,21.18,Mollejas a la parrilla preparado al estilo parrilla,SI
75,12,Salchicha parrillera,Parrilla,19.17,Salchicha parrillera preparado al estilo parrilla,SI
76,13,Lomo fino,Parrilla,52.02,Lomo fino preparado al estilo parrilla,SI
77,13,Costillas BBQ,Parrilla,25.71,Costillas BBQ preparado al estilo parrilla,NO
78,13,Anticucho,Parrilla,45.13,Anticucho preparado al estilo parrilla,SI
79,13,Parrilla mixta,Parrilla,34.57,Parrilla mixta preparado al estilo parrilla,SI
80,13,Salchicha parrillera,Parrilla,52.8,Salchicha parrillera preparado al estilo parrilla,NO
81,13,Pollo a la parrilla,Parrilla,55.0,Pollo a la parrilla preparado al estilo parrilla,SI
82,13,Chorizo artesanal,Parrilla,55.0,Chorizo artesanal preparado al estilo parrilla,SI
83,13,Mollejas a la parrilla,Parrilla,29.13,Mollejas a la parrilla preparado al estilo parrilla,NO
